id_parcelas;cpf;id_emprestimo;vencimemnto;pagamento;n_parcelas
2;202.337.679-32;1;2022-09-25;11.200;5
4;620.540.260-26;2;2022-09-26;10.500;60
6;733.108.923-44;3;2022-09-27;20.000;36
;716.608.584-37;4;2022-09-28;30.000;60
8;406.963.709-56;5;2022-09-29;25.000;60
10;914.826.758-97;6;2022-09-30;10.000;5
12;086.921.592-20;7;2022-10-01;10.500;36
14;698.967.276-51;8;2022-10-02;40.100;60
16;134.710.264-79;9;2022-10-03;70.200;60
18;482.350.040-70;10;2022-10-04;100.000;60
20;432.012.903-27;11;2022-10-05;2.000;5
22;278.583.251-59;12;2022-10-06;5.500;96
24;786.829.252-06;13;2022-10-07;9.780;5
26;789.056.708-14;14;2022-10-08;12.300;36
28;456.761.940-49;15;2022-10-09;14.700;36
30;451.490.791-03;16;2022-10-10;18.600;60
32;917.927.682-22;17;2022-10-11;19.400;60
34;177.696.998-78;18;2022-10-12;20.000;96
36;598.457.915-49;19;2022-10-13;28.400;60
38;582.378.843-61;20;2022-10-14;34.000;5
40;202.337.679-32;21;2022-10-15;120.000;36
42;620.540.260-26;22;2022-10-16;1.111.000;36
46;202.337.679-32;23;2022-10-17;2.222.000;5
48;733.108.923-44;24;2022-10-18;3.344.000;60
50;914.826.758-97;25;2022-10-19;4.500.000;36
52;086.921.592-20;26;2022-10-20;6.500.000;36
54;278.583.251-59;27;2022-10-21;14.500.000;5
56;451.490.791-03;28;2022-10-22;15.500.000;96
58;406.963.709-56;29;2022-10-23;20.000.000;96
